chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL1078827,1,2,0.5,2,1
CHEMBL1078828,2,2,1.0,2,0
CHEMBL1078859,1,1,1.0,1,0
CHEMBL1078866,2,2,1.0,2,0
CHEMBL1078889,2,2,1.0,2,0
CHEMBL1078906,2,2,1.0,2,0
CHEMBL1078926,1,1,1.0,1,0
CHEMBL1078927,0,1,0.0,1,1
CHEMBL1078929,4,4,1.0,4,0
CHEMBL1078930,4,4,1.0,4,0
CHEMBL1078933,2,2,1.0,2,0
CHEMBL1078934,2,2,1.0,2,0
CHEMBL1078961,1,1,1.0,1,0
CHEMBL1078971,2,2,1.0,2,0
CHEMBL1078983,5,12,0.4166666666666667,7,7
CHEMBL1078984,1,1,1.0,1,0
CHEMBL1079032,1,4,0.25,4,3
CHEMBL1079040,3,4,0.75,4,1
CHEMBL1079051,1,1,1.0,1,0
CHEMBL1079052,1,1,1.0,1,0
CHEMBL1079077,2,2,1.0,2,0
CHEMBL1079078,2,2,1.0,2,0
CHEMBL1079110,1,1,1.0,1,0
CHEMBL1079120,1,2,0.5,2,1
CHEMBL1079121,1,2,0.5,2,1
CHEMBL1079135,2,5,0.4,4,3
CHEMBL1079150,1,1,1.0,1,0
CHEMBL1079175,8,200,0.04,195,192
CHEMBL1079184,1,1,1.0,1,0
CHEMBL1079208,1,4,0.25,4,3
CHEMBL1079243,1,4,0.25,4,3
CHEMBL1079271,0,1,0.0,1,1
CHEMBL1079293,2,4,0.5,4,2
CHEMBL1079294,4,4,1.0,4,0
CHEMBL1079295,4,4,1.0,4,0
CHEMBL1079308,0,1,0.0,1,1
CHEMBL1079309,1,1,1.0,1,0
CHEMBL1079310,1,1,1.0,1,0
CHEMBL1079347,0,1,0.0,1,1
CHEMBL1079348,0,1,0.0,1,1
CHEMBL1079349,0,1,0.0,1,1
CHEMBL1079354,1,1,1.0,1,0
CHEMBL1079376,1,2,0.5,2,1
CHEMBL1079379,1,1,1.0,1,0
CHEMBL1079380,1,1,1.0,1,0
CHEMBL1079397,1,1,1.0,1,0
CHEMBL1079398,1,1,1.0,1,0
CHEMBL1079399,1,1,1.0,1,0
CHEMBL1079415,1,1,1.0,1,0
CHEMBL1079422,5,6,0.8333333333333334,4,1
CHEMBL1079424,2,5,0.4,4,3
CHEMBL1079426,2,2,1.0,2,0
CHEMBL1079427,2,2,1.0,2,0
CHEMBL1079428,0,2,0.0,1,2
CHEMBL1079429,0,1,0.0,1,1
CHEMBL1079432,1,1,1.0,1,0
CHEMBL1079433,1,1,1.0,1,0
CHEMBL1079435,2,2,1.0,2,0
CHEMBL1079523,2,2,1.0,2,0
CHEMBL1079524,1,2,0.5,2,1
CHEMBL1079525,2,2,1.0,2,0
CHEMBL1079526,2,2,1.0,2,0
CHEMBL1079538,2,2,1.0,2,0
CHEMBL1079544,1,1,1.0,1,0
CHEMBL1079545,2,2,1.0,2,0
CHEMBL107955,2,2,1.0,1,0
CHEMBL1079566,1,2,0.5,2,1
CHEMBL1079567,1,2,0.5,2,1
CHEMBL1079585,1,1,1.0,1,0
CHEMBL1079588,0,1,0.0,1,1
