molregno,canonical_smiles
183346,CN1CCN(Cc2ccc(Nc3ncc4cc(-c5c(Cl)cccc5Cl)c(=O)n(C)c4n3)cc2)CC1
169321,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
183220,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(CC)c3n2)cc1
183152,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C
183341,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21
182653,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21
182782,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21
183779,CCNCCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
183509,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21
193791,COc1nccc(-c2c(-c3ccccc3)nc3nc(N)ccn23)n1
186191,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2
642131,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2N)c(=O)[nH]c1=O
642135,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](N)[C@H]2O)c(=O)[nH]c1=O
642142,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2F)c(=O)[nH]c1=O
642143,Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2Cl)c(=O)[nH]c1=O
642353,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1Cc1ccccc1
642532,Cc1cn([C@H]2C[C@H](CF)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642533,Cc1cn([C@H]2C[C@H](CN=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642542,Cc1cn([C@H]2C[C@H](CO)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642543,Cc1cn([C@H]2C[C@H](CN)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
642744,O=C(CCCP(=O)(O)O)CP(=O)(O)O
642745,O=C(CP(=O)(O)O)NCC(F)(F)P(=O)(O)O
642746,O=P(O)(O)CCCCC(F)(F)P(=O)(O)O
642748,O=C(CCP(=O)(O)O)CP(=O)(O)O
642749,O=C(CCC(F)(F)P(=O)(O)O)C(F)(F)P(=O)(O)O
642750,O=C(CCP(=O)(O)O)C(F)(F)P(=O)(O)O
642751,O=C(CCCP(=O)(O)O)C(F)(F)P(=O)(O)O
190271,CC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
648562,Cc1ccccc1NC(=O)NC(=O)c1ccccc1Cl
648563,N#CC(NCC(O)c1ccccc1)c1ccc(Cl)c(Cl)c1
17853,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
648635,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
648636,Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1
648603,Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1Cl
648639,NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)s1
648669,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)C1=C(Cl)SC(Cl)C1
648738,Cc1cccc(C)c1N(C(=O)CCl)S(=O)(=O)c1cc(Cl)sc1Cl
194238,O=c1ccc(-c2c(-c3ccc(F)cc3)nc3ccccn23)nn1-c1c(Cl)cccc1Cl
648739,Cc1ccc(N(C(=O)CCl)S(=O)(=O)c2c(Cl)sc(Cl)c2Cl)cc1
648740,O=C(CBr)N(c1ccccc1)S(=O)(=O)c1cc(Cl)sc1Cl
648741,O=C(CBr)N(c1ccc(Cl)cc1)S(=O)(=O)c1cc(Cl)sc1Cl
648606,Cc1ccc(Cl)cc1NS(=O)(=O)c1cc(Cl)ccc1Cl
648607,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1
648673,O=S(=O)(c1cc(Cl)sc1Cl)N(SC(Cl)(Cl)Cl)c1ccccc1
648674,O=S(=O)(Nc1ccc(Cl)cc1SC(Cl)(Cl)Cl)c1cc(Cl)sc1Cl
649637,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
648637,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)c(Cl)cc1Cl
648638,COc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1
648640,O=S(=O)(Nc1ccccc1)c1cc(Cl)sc1Cl
648641,Cc1ccc(NS(=O)(=O)c2cc(Cl)sc2Cl)cc1
648602,Cc1cc(C)c(NS(=O)(=O)c2ccc(Br)cc2)c(C)c1NS(=O)(=O)c1ccc(Br)cc1
648604,Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(Cl)c(Cl)c1
648605,Cc1cc(Cl)ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl
194001,O=C1CCC(c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)=NN1c1c(Cl)cccc1Cl
648671,O=S(=O)(Nc1ccc(Cl)cc1)c1c(Cl)sc(Cl)c1Cl
648672,Cc1ccc(N(SC(Cl)(Cl)Cl)S(=O)(=O)c2cc(Cl)sc2Cl)cc1
650126,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
653771,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCN
194776,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3F)nc3ccccn23)ccc1=O
196913,CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1
196995,C[C@H](Nc1nccc(-n2cc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)n1)c1ccccc1
194892,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O
196542,C[C@H](Nc1cc(-c2sc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1
194630,Cc1ccccc1N1N=C(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)CCC1=O
194663,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3Cl)nc3ccccn23)ccc1=O
194823,O=c1ccc(-c2c(-c3ccc(F)cc3Cl)nc3ccccn23)nn1-c1c(Cl)cccc1Cl
194773,O=C1CCC(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)=NN1c1ccccc1Cl
665561,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1
193962,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
194173,O=c1ccc(-c2c(-c3cccc(C(F)(F)F)c3)nc3ccccn23)nn1-c1ccccc1Cl
193857,COC[C@H](C)Nc1cc(-c2c(-c3ccccc3)nc3nc(N)ccn23)ccn1
193368,Nc1ccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc2n1
199467,CN(Cc1ccc(Br)cc1)c1c(N)ncnc1C#Cc1ccc(N2CCOCC2)nc1
194136,O=C1CCC(c2c(-c3cccc(C(F)(F)F)c3)nc3ccccn23)=NN1c1ccccc1Cl
193289,Nc1ccn2c(-c3ccnc(NCc4ccccc4)c3)c(-c3ccc(F)cc3)nc2n1
197467,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)s2)CCNCC1
192105,Nc1cc(C#Cc2ccc(N3CCOCC3)nc2)ncn1
193829,CSc1nccc(-c2c(-c3ccccc3)nc3nc(N)ccn23)n1
196911,C[C@H](Nc1nccc(-n2c(-c3ccc(F)cc3)nc3nc(N4CCN(C)CC4)ccc32)n1)c1ccccc1
197772,O=C1NCc2cc(NS(=O)(=O)c3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl
198444,O=C(c1ccc(Nc2ccc(F)cc2F)cc1)c1ccccc1Cl
198445,COc1cc2[nH]c(C)nc2cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
197368,C[C@H](Nc1nccc(-c2oc(C3(O)CCN(C)CC3)nc2-c2ccc(F)cc2)n1)c1ccccc1
197962,COc1ccccc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
197935,COc1ccc(/C=C/C2(O)CCN(C)CC2)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
196867,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1
198317,O=C1NCc2cc(Nc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl
676469,COc1ccc(O)c(C(=O)c2ccc(C(=O)N[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl
676470,COc1ccc(O)c(C(=O)c2ccc(CN[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl
676476,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl
676877,CNCC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1.Cl
676878,CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1.Cl
676879,Cl.Cn1cc(C2=C(c3c4n(c5ccccc35)CC(CCN)CC4)C(=O)NC2=O)c2ccccc21
198493,O=C1NCc2cc(NS(=O)(=O)c3ccc(F)c(Cl)c3)ccc2N1c1c(Cl)cccc1Cl
